10.0,0,5e-10,0.1250000005,0.375,0.625,0.8749999995,0.9999999995000001,1.0
0,0,0,0,0,0,0,0,0
5e-10,0,5.608493905146473e+26,2.2433526150687245e+18,2.2429927140601664e+18,2.242272510560975e+18,2.2411911484784573e+18,5.601286602532223e+26,0
0.0625000005,0,4.4799667216106885e+18,17919507435.356937,17916629634.10363,17910871400.27769,17902225356.646957,4.4742040851342223e+18,0
0.1875,0,4.4255861723388416e+18,17701986688.341118,17699122227.85671,17693390296.910915,17684783701.312504,4.419849901333402e+18,0
0.3125,0,4.318193529147967e+18,17272419698.67813,17269582920.829277,17263906567.587715,17255383741.822384,4.312512962905348e+18,0
0.4374999995,0,4.160729799521591e+18,16642570509.694555,16639778855.751375,16634192288.029165,16625804935.901716,4.155139443368164e+18,0
0.4999999995,0,5.080797102234033e+26,2.032275699059805e+18,2.0319304672759854e+18,2.0312396150858644e+18,2.0302024171575132e+18,5.073883883965177e+26,0
0.5,0,0,0,0,0,0,0,0

10.0,0,5e-10,0.1250000005,0.375,0.625,0.8749999995,0.9999999995000001,1.0
0,0,0,0,0,0,0,0,0
5e-10,0,4.1453027522754195e+25,1.6580100436952208e+17,1.65712148756098e+17,1.6553441919095712e+17,1.6526777712817008e+17,4.127527367502721e+25,0
0.0625000005,0,3.3022883267120096e+17,1320826727.4913425,1320117857.747506,1318699979.378027,1316572773.7624674,3.288107579819771e+17,0
0.1875,0,3.1924122110769363e+17,1276878256.7317848,1276185124.574957,1274798742.5358725,1272718826.1796315,3.178546674387273e+17,0
0.3125,0,2.981879944777887e+17,1192669224.263865,1192007180.0082955,1190682992.8944275,1188696464.0481672,2.968636794275313e+17,0
0.4374999995,0,2.6883943284682976e+17,1075280667.78888,1074664067.17168,1073430812.5102402,1071580798.8520012,2.6760611231785046e+17,0
0.4999999995,0,3.14750601303519e+25,1.2589103714821954e+17,1.258174087692627e+17,1.256701493315104e+17,1.2544925101209333e+17,3.1327795777154654e+25,0
0.5,0,0,0,0,0,0,0,0

10.0,0,5e-10,0.1250000005,0.375,0.625,0.8749999995,0.9999999995000001,1.0
0,0,0,0,0,0,0,0,0
5e-10,0,1.4394661556670142e+25,5.7574078338866824e+16,5.7537532834557624e+16,5.746444458403057e+16,5.735481845814895e+16,1.4321576310135916e+25,0
0.0625000005,0,1.1458903400467637e+17,458319718.28481174,458028368.4430808,457445693.12482315,456571728.35974115,1.140063821558164e+17,0
0.1875,0,1.1012897064172448e+17,440480473.527827,440197171.7617451,439630600.70605105,438780808.3071176,1.0956243190472205e+17,0
0.3125,0,1.0165722569512003e+17,406595455.9164111,406327885.26032805,405792784.8586566,404990232.392098,1.0112217298250096e+17,0
0.4374999995,0,9.001921112404771e+16,360046226.6290669,359801264.3289927,359311393.1183942,358576723.8797491,8.952940899683854e+16,0
0.4999999995,0,1.042005636218412e+25,4.1676608531516776e+16,4.164767472439982e+16,4.1589815124358696e+16,4.150304496324218e+16,1.0362206309170127e+25,0
0.5,0,0,0,0,0,0,0,0

10.0,0,5e-10,0.1250000005,0.375,0.625,0.8749999995,0.9999999995000001,1.0
0,0,0,0,0,0,0,0,0
5e-10,0,6.194733115548436e+24,2.477676534433601e+16,2.475942777791106e+16,2.4724757080536084e+16,2.467276191642561e+16,6.160067815443485e+24,0
0.0625000005,0,4.928957343822029e+16,197141024.25629506,197002866.63881436,196726588.06238633,196312256.47997722,4.901333777425586e+16,0
0.1875,0,4.718824836284935e+16,188736262.28342417,188602404.07292968,188334727.41998446,187933305.1642046,4.6920618276440456e+16,0
0.3125,0,4.3219178749392456e+16,172861025.9869488,172735518.92793065,172484548.55671743,172108199.13850963,4.296826085177291e+16,0
0.4374999995,0,3.78180338024532e+16,151257932.3490123,151144305.64269027,150917099.76188806,150576411.84828147,3.7590888567136104e+16,0
0.4999999995,0,4.3446111370157384e+24,1.7376778642771946e+16,1.736345267025713e+16,1.7336807142233526e+16,1.7296854560397558e+16,4.317973448416509e+24,0
0.5,0,0,0,0,0,0,0,0

10.0,0,5e-10,0.1250000005,0.375,0.625,0.8749999995,0.9999999995000001,1.0
0,0,0,0,0,0,0,0,0
5e-10,0,2.9539074057925965e+24,1.1814524696929166e+16,1.1805685182471666e+16,1.1788009588303546e+16,1.1761504713063672e+16,2.9362360518147494e+24,0
0.0625000005,0,2.3494880086424564e+16,93970718.34249465,93900302.2308823,93759498.17152785,93548359.80845116,2.3354109795213156e+16,0
0.1875,0,2.2428366108110388e+16,89704959.2802773,89636915.61677,89500857.60527547,89296841.10568392,2.2292343499524612e+16,0
0.3125,0,2.0422185790754296e+16,81680810.70785539,81617354.83443075,81490474.32333295,81300229.63021316,2.029534303710855e+16,0
0.4374999995,0,1.7711127544453586e+16,70837388.0919132,70780411.61479574,70666490.99094383,70495691.82579966,1.7597247903383466e+16,0
0.4999999995,0,2.023168155219459e+24,8091841647112481.0,8085194670951281.0,8071904931825958.0,8051980693043182.0,2.009883598560256e+24,0
0.5,0,0,0,0,0,0,0,0

10.0,0,5e-10,0.1250000005,0.375,0.625,0.8749999995,0.9999999995000001,1.0
0,0,0,0,0,0,0,0,0
5e-10,0,1.497731013733763e+24,5990335087667333.0,5985623391320563.0,5976202321776118.0,5962076497791999.0,1.4883128263488896e+24,0
0.0625000005,0,1.190930562350105e+16,47632531.96179833,47595008.025695175,47519979.14440151,47407481.83328333,1.183429970530013e+16,0
0.1875,0,1.134269186997634e+16,45366244.53350152,45330060.609689735,45257712.14318978,45149236.72646528,1.1270367134789532e+16,0
0.3125,0,1.0280302319971686e+16,41117008.7800424,41083407.33586269,41016224.75464276,40915500.5059499,1.0213144413752708e+16,0
0.4374999995,0,8852486522319135.0,35406199.138297126,35376224.6168158,35316296.115932375,35226455.1415426,8792583953695531.0,0
0.4999999995,0,1.0066674479543088e+24,4026234436501257.0,4022752085966271.0,4015790012461723.5,4005353383284538.0,9.997086152969267e+23,0
0.5,0,0,0,0,0,0,0,0

10.0,0,5e-10,0.1250000005,0.375,0.625,0.8749999995,0.9999999995000001,1.0
0,0,0,0,0,0,0,0,0
5e-10,0,7.913428841488388e+23,3165047875966576.0,3162458659938602.0,3157281726356266.5,3149520059186418.0,7.861678132195807e+23,0
0.0625000005,0,6290940668758004.0,25161185.609818954,25140569.47345994,25099349.42461517,25037549.075864952,6249735462559228.0,0
0.1875,0,5980358580637119.0,23918953.54717087,23899107.61495388,23859428.0787639,23799939.09860287,5940694258833624.0,0
0.3125,0,5399561634601043.0,21595950.62488015,21577584.985433497,21540866.474694505,21485820.01100974,5362858706474914.0,0
0.4374999995,0,4622479911653970.0,18487882.5099265,18471586.47298448,18439007.14314462,18390170.196625356,4589916623217401.0,0
0.4999999995,0,5.236889791421505e+23,2094520033775611.2,2092633264384052.2,2088861336572840.0,2083207422141836.5,5.199190406270241e+23,0
0.5,0,0,0,0,0,0,0,0

10.0,0,5e-10,0.1250000005,0.375,0.625,0.8749999995,0.9999999995000001,1.0
0,0,0,0,0,0,0,0,0
5e-10,0,4.3071325426047374e+23,1722671135182219.2,1721216141110333.0,1718307100078493.0,1713945898810665.5,4.278053912519042e+23,0
0.0625000005,0,3423366380660230.5,13692017.599308977,13680434.55341184,13657276.173134519,13622557.396770462,3400217388104354.0,0
0.1875,0,3249191707762338.5,12995374.99520421,12984240.695938231,12961979.814127482,12928607.573821612,3226940396469867.5,0
0.3125,0,2924202229528357.5,11695524.561611762,11685250.78206346,11664711.143073894,11633921.160975907,2903672293542035.5,0
0.4374999995,0,2491012718499510.5,9962916.371785311,9953841.169854378,9935698.60179483,9908504.423159286,2472879992508621.5,0
0.4999999995,0,2.8132104415244872e+23,1125153190109419.9,1124105472300810.6,1122011019058416.6,1118871765334456.6,2.792278044922722e+23,0
0.5,0,0,0,0,0,0,0,0

10.0,0,5e-10,0.1250000005,0.375,0.625,0.8749999995,0.9999999995000001,1.0
0,0,0,0,0,0,0,0,0
5e-10,0,2.3975295828511043e+23,958907858482528.5,958076106625480.4,956413195943759.9,953920307548512.9,2.380907852049214e+23,0
0.0625000005,0,1905265587620533.5,7620234.757868303,7613614.28607193,7600378.162177082,7580535.741513444,1892035341817177.8,0
0.1875,0,1805865388925009.8,7222666.993159177,7216310.836438831,7203603.319598278,7184553.949440447,1793163840678861.8,0
0.3125,0,1620747990436913.8,6482260.591963628,6476410.317718259,6464714.65584391,6447183.21286957,1609058335095260.0,0
0.4374999995,0,1374791988739002.5,5498524.394594247,5493376.487326714,5483085.476967121,5467661.009173177,1364507002737934.5,0
0.4999999995,0,1.5483964614481137e+23,619284464895330.9,618691611358726.9,617506502896188.4,615730318530936.2,1.5365527718532963e+23,0
0.5,0,0,0,0,0,0,0,0

10.0,0,5e-10,0.1250000005,0.375,0.625,0.8749999995,0.9999999995000001,1.0
0,0,0,0,0,0,0,0,0
5e-10,0,1.3582608763520066e+23,543244099643261.8,542762123973525.4,541798542362185.2,540354090814559.9,1.3486296573136313e+23,0
0.0625000005,0,1079221724861628.6,4316407.392213903,4312571.534390641,4304902.818283524,4293407.0754567925,1071556672206900.5,0
0.1875,0,1021703892883081.6,4086355.6912836656,4082676.912848924,4075322.329218992,4064297.852938989,1014353017498369.1,0
0.3125,0,914762290698414.2,3658626.779153578,3655248.1447423436,3648493.886129628,3638369.938911451,908011742667004.6,0
0.4374999995,0,773071411764924.4,3091915.2150402484,3088952.1471421435,3083028.9564848295,3074151.549735795,767151909562076.2,0
0.4999999995,0,8.68628943380133e+22,347409006207938.8,347068499386770.9,346387850968605.8,345367780089636.25,8.618269700657915e+22,0
0.5,0,0,0,0,0,0,0,0